,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
127,_348_/A,_348_/Y,pin,pin,0,1.3466196040201606e-11,178,179,178,179,A,Y,_348_,INVx1_ASAP7_75t_R
128,_349_/A,_349_/Y,pin,pin,0,1.45103547233294e-11,180,181,180,181,A,Y,_349_,INVx1_ASAP7_75t_R
129,_350_/A,_350_/Y,pin,pin,0,1.4275049024792263e-11,182,183,182,183,A,Y,_350_,INVx1_ASAP7_75t_R
130,_351_/A,_351_/Y,pin,pin,0,1.4627927341637204e-11,184,185,184,185,A,Y,_351_,INVx1_ASAP7_75t_R
131,_352_/A,_352_/Y,pin,pin,0,1.4343361567914492e-11,186,187,186,187,A,Y,_352_,INVx1_ASAP7_75t_R
132,_353_/A,_353_/Y,pin,pin,0,1.5084050328240117e-11,188,189,188,189,A,Y,_353_,INVx1_ASAP7_75t_R
133,_354_/A,_354_/Y,pin,pin,0,1.4159117454892732e-11,190,191,190,191,A,Y,_354_,INVx1_ASAP7_75t_R
134,_355_/A,_355_/Y,pin,pin,0,1.4782028032178648e-11,192,193,192,193,A,Y,_355_,INVx1_ASAP7_75t_R
135,_356_/A,_356_/Y,pin,pin,0,1.3769155086940099e-11,194,195,194,195,A,Y,_356_,INVx1_ASAP7_75t_R
136,_357_/A,_357_/Y,pin,pin,0,1.377664822499458e-11,196,197,196,197,A,Y,_357_,INVx1_ASAP7_75t_R
137,_358_/A,_358_/Y,pin,pin,0,1.4186553841388784e-11,198,199,198,199,A,Y,_358_,INVx1_ASAP7_75t_R
138,_359_/A,_359_/Y,pin,pin,0,1.425934630788772e-11,200,201,200,201,A,Y,_359_,INVx1_ASAP7_75t_R
139,_360_/A,_360_/Y,pin,pin,0,1.42016554766089e-11,202,203,202,203,A,Y,_360_,INVx1_ASAP7_75t_R
140,_361_/A,_361_/Y,pin,pin,0,1.384152861771959e-11,204,205,204,205,A,Y,_361_,INVx1_ASAP7_75t_R
141,_362_/A,_362_/Y,pin,pin,0,1.0266024141891704e-11,206,207,206,207,A,Y,_362_,INVx1_ASAP7_75t_R
142,_363_/A,_363_/Y,pin,pin,0,2.5626667454758945e-11,208,209,208,209,A,Y,_363_,BUFx4f_ASAP7_75t_R
143,_364_/A1,_364_/Y,pin,pin,0,1.8857033989849725e-11,210,213,210,213,A1,Y,_364_,OA21x2_ASAP7_75t_R
144,_364_/A2,_364_/Y,pin,pin,0,1.938982481519691e-11,211,213,211,213,A2,Y,_364_,OA21x2_ASAP7_75t_R
145,_364_/B,_364_/Y,pin,pin,0,2.1886480475186154e-11,212,213,212,213,B,Y,_364_,OA21x2_ASAP7_75t_R
146,_365_/A,_365_/Y,pin,pin,0,1.8214752622869312e-11,214,215,214,215,A,Y,_365_,BUFx4f_ASAP7_75t_R
147,_366_/A,_366_/Y,pin,pin,0,1.9679426491170385e-11,216,218,216,218,A,Y,_366_,AND2x2_ASAP7_75t_R
148,_366_/B,_366_/Y,pin,pin,0,2.032504546611857e-11,217,218,217,218,B,Y,_366_,AND2x2_ASAP7_75t_R
149,_367_/A,_367_/Y,pin,pin,0,2.1193300586697103e-11,219,222,219,222,A,Y,_367_,AND3x1_ASAP7_75t_R
150,_367_/B,_367_/Y,pin,pin,0,2.2816235012435016e-11,220,222,220,222,B,Y,_367_,AND3x1_ASAP7_75t_R
151,_367_/C,_367_/Y,pin,pin,0,2.2019391518468545e-11,221,222,221,222,C,Y,_367_,AND3x1_ASAP7_75t_R
