src,tar,is_net
_16782_/B,_16782_/Z,0
_16782_/S,_16782_/Z,0
_16783_/A1,_16783_/ZN,0
_16783_/A2,_16783_/ZN,0
_16784_/A,_16784_/Z,0
_16784_/B,_16784_/Z,0
_16784_/S,_16784_/Z,0
_16785_/A1,_16785_/ZN,0
_16785_/A2,_16785_/ZN,0
_16785_/B1,_16785_/ZN,0
_16785_/B2,_16785_/ZN,0
_16786_/A1,_16786_/ZN,0
_16786_/A2,_16786_/ZN,0
_16787_/A1,_16787_/ZN,0
_16787_/A2,_16787_/ZN,0
_16788_/A,_16788_/ZN,0
_16788_/B1,_16788_/ZN,0
_16788_/B2,_16788_/ZN,0
_16789_/A1,_16789_/ZN,0
_16789_/A2,_16789_/ZN,0
_16789_/A3,_16789_/ZN,0
_16790_/A1,_16790_/ZN,0
_16790_/A2,_16790_/ZN,0
_16791_/A1,_16791_/ZN,0
_16791_/A2,_16791_/ZN,0
_16792_/A1,_16792_/ZN,0
_16792_/A2,_16792_/ZN,0
_16793_/A,_16793_/ZN,0
_16793_/B1,_16793_/ZN,0
_16793_/B2,_16793_/ZN,0
_16794_/A1,_16794_/ZN,0
_16794_/A2,_16794_/ZN,0
_16795_/A1,_16795_/ZN,0
_16795_/A2,_16795_/ZN,0
_16796_/A,_16796_/ZN,0
_16796_/B1,_16796_/ZN,0
_16796_/B2,_16796_/ZN,0
_16797_/A1,_16797_/ZN,0
_16797_/A2,_16797_/ZN,0
_16798_/A1,_16798_/ZN,0
_16798_/A2,_16798_/ZN,0
_16798_/A3,_16798_/ZN,0
_16799_/A,_16799_/ZN,0
_16799_/B1,_16799_/ZN,0
_16799_/B2,_16799_/ZN,0
_16800_/A,_16800_/Z,0
_16800_/B,_16800_/Z,0
_16800_/S,_16800_/Z,0
_16801_/A1,_16801_/ZN,0
_16801_/A2,_16801_/ZN,0
_16802_/A1,_16802_/ZN,0
_16802_/A2,_16802_/ZN,0
_16803_/A1,_16803_/ZN,0
_16803_/A2,_16803_/ZN,0
_16804_/A1,_16804_/ZN,0
_16804_/A2,_16804_/ZN,0
