cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_101_1148,0,0,0,456380,305200,456760,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1185,0,0,0,470440,305200,473480,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_1196,0,0,0,474620,305200,475000,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_1198,0,0,0,475380,305200,475760,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_1202,0,0,0,476900,305200,477280,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_152,0,0,0,77900,305200,79420,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_17,0,0,0,26600,305200,29640,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_175,0,0,0,86640,305200,88160,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_188,0,0,0,91580,305200,91960,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_190,0,0,0,92340,305200,92720,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_201,0,0,0,96520,305200,99560,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_209,0,0,0,99560,305200,101080,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_223,0,0,0,104880,305200,105260,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_231,0,0,0,107920,305200,109440,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_235,0,0,0,109440,305200,109820,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_239,0,0,0,110960,305200,112480,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_25,0,0,0,29640,305200,30020,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_29,0,0,0,31160,305200,37240,308000,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_101_299,0,0,0,133760,305200,134140,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_310,0,0,0,137940,305200,138320,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_316,0,0,0,140220,305200,140600,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_322,0,0,0,142500,305200,142880,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_383,0,0,0,165680,305200,166060,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_45,0,0,0,37240,305200,37620,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_484,0,0,0,204060,305200,204440,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_490,0,0,0,206340,305200,206720,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_504,0,0,0,211660,305200,212040,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_516,0,0,0,216220,305200,216600,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_553,0,0,0,230280,305200,230660,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_572,0,0,0,237500,305200,237880,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_650,0,0,0,267140,305200,267520,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_662,0,0,0,271700,305200,272080,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_691,0,0,0,282720,305200,283100,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_705,0,0,0,288040,305200,288420,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_71,0,0,0,47120,305200,47500,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_73,0,0,0,47880,305200,48260,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_733,0,0,0,298680,305200,299060,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_757,0,0,0,307800,305200,308180,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_775,0,0,0,314640,305200,320720,308000,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_101_791,0,0,0,320720,305200,321100,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_796,0,0,0,322620,305200,324140,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_800,0,0,0,324140,305200,324520,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_849,0,0,0,342760,305200,343140,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_859,0,0,0,346560,305200,346940,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_869,0,0,0,350360,305200,350740,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_87,0,0,0,53200,305200,53580,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_906,0,0,0,364420,305200,370500,308000,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_101_922,0,0,0,370500,305200,370880,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_942,0,0,0,378100,305200,378480,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_969,0,0,0,388360,305200,389880,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_101_973,0,0,0,389880,305200,390260,308000,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_101_975,0,0,0,390640,305200,391020,308000,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_101_985,0,0,0,394440,305200,397480,308000,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_101_993,0,0,0,397480,305200,399000,308000,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_1,0,0,0,20520,308000,23560,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_1000,0,0,0,400140,308000,403180,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_1008,0,0,0,403180,308000,403560,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_1024,0,0,0,409260,308000,409640,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1029,0,0,0,411160,308000,414200,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_1037,0,0,0,414200,308000,414580,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1061,0,0,0,423320,308000,423700,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1063,0,0,0,424080,308000,424460,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_1083,0,0,0,431680,308000,432060,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1085,0,0,0,432440,308000,432820,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_1093,0,0,0,435480,308000,438520,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_1101,0,0,0,438520,308000,438900,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1103,0,0,0,439280,308000,439660,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_1110,0,0,0,441940,308000,442320,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_1112,0,0,0,442700,308000,443080,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_1144,0,0,0,454860,308000,467020,310800,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_102_1200,0,0,0,476140,308000,479180,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_1208,0,0,0,479180,308000,479560,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_13,0,0,0,25080,308000,25460,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_139,0,0,0,72960,308000,76000,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_147,0,0,0,76000,308000,77520,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_151,0,0,0,77520,308000,77900,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_168,0,0,0,83980,308000,84360,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_170,0,0,0,84740,308000,85120,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_195,0,0,0,94240,308000,95760,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_199,0,0,0,95760,308000,96140,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_208,0,0,0,99180,308000,100700,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_212,0,0,0,100700,308000,101080,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_223,0,0,0,104880,308000,105260,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_240,0,0,0,111340,308000,111720,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_246,0,0,0,113620,308000,114000,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_271,0,0,0,123120,308000,124640,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_39,0,0,0,34960,308000,36480,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_43,0,0,0,36480,308000,36860,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_448,0,0,0,190380,308000,190760,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_475,0,0,0,200640,308000,201020,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_49,0,0,0,38760,308000,40280,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_503,0,0,0,211280,308000,211660,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_556,0,0,0,231420,308000,231800,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_56,0,0,0,41420,308000,42940,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_591,0,0,0,244720,308000,245100,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_60,0,0,0,42940,308000,43320,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_603,0,0,0,249280,308000,249660,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_614,0,0,0,253460,308000,253840,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_645,0,0,0,265240,308000,265620,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_651,0,0,0,267520,308000,267900,310800,0,0,FILLCELL_X1,0.0,0.0
