pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_361_/A2,20765,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_361_,_051_,9.574507853216119e-12,-0.076759,1.7976399535601928e-10,1.7382807693255842e-10,1.664198983392822e-15
_361_/ZN,21270,14986,0,-1,0,0,1,-1,0.1985349953174591,0,_361_,_052_,1.683990794032475e-11,-0.076759,1.9805282414075975e-10,2.0023860347606615e-10,None
_362_/A1,21850,18520,0,-1,0,0,0,-1,0.1985349953174591,0,_362_,_047_,1.272804691504481e-11,-0.072515,2.001097759718462e-10,2.018491068733752e-10,3.293307085846793e-15
_362_/A2,21965,18260,0,-1,0,0,0,-1,0.1985349953174591,0,_362_,_052_,1.6839923552836034e-11,-0.076759,1.9811000062652795e-10,2.0029262970400197e-10,3.346923212616806e-15
_362_/ZN,21541,18112,0,-1,0,0,1,-1,0.1985349953174591,0,_362_,_053_,1.2355223615034827e-11,-0.076759,2.2591399584381833e-10,2.0852611304356117e-10,None
_363_/A1,26735,18375,0,-1,0,0,0,-1,0.1985349953174591,0,_363_,_042_,1.9250394681091798e-11,-0.071936,2.1952827056193058e-10,2.0753763985137397e-10,1.5990320800793388e-15
_363_/A2,26085,18375,0,-1,0,0,0,-1,0.1985349953174591,0,_363_,_053_,1.2355234023375683e-11,-0.076759,2.2596959026177643e-10,2.0857701676924023e-10,1.664198983392822e-15
_363_/ZN,26590,18613,0,-1,0,0,1,-1,0.1985349953174591,0,_363_,_054_,1.2864319852423645e-11,-0.076759,2.2800208943074551e-10,2.438013124717031e-10,None
_364_/A,15425,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_364_,_046_,1.7854672601513855e-11,-0.065128,1.8331501594470723e-10,1.7771910332253782e-10,1.700229965024007e-15
_364_/ZN,15755,12600,0,-1,0,0,1,-1,0.1985349953174591,0,_364_,_055_,8.118110350618934e-12,-0.065128,1.9252739680286624e-10,1.923955439409042e-10,None
_365_/A,18375,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_365_,_044_,1.6593407203835397e-11,-0.055309,1.8199187989953458e-10,1.7752790903990956e-10,1.6707160548889966e-15
_365_/B1,17995,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_365_,_055_,8.118134636747598e-12,-0.065128,1.9257802297278914e-10,1.9244059124012836e-10,1.6620500608056379e-15
_365_/B2,17345,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_365_,_049_,1.1641951291885277e-11,-0.053261,1.7759047010734719e-10,1.746714162198515e-10,1.5718929326910742e-15
_365_/ZN,17860,15578,0,-1,0,0,1,-1,0.1985349953174591,0,_365_,_056_,1.92622515160501e-11,-0.065128,2.1914019210367286e-10,2.0582738291530234e-10,None
_366_/A,19225,18375,0,-1,0,0,0,-1,0.1985349953174591,0,_366_,_056_,1.926226018966748e-11,-0.065128,2.1919323300867433e-10,2.058761633394468e-10,1.700229965024007e-15
_366_/ZN,19555,18200,0,-1,0,0,1,-1,0.1985349953174591,0,_366_,_057_,1.071065111601932e-11,-0.065128,2.2347573791492437e-10,2.316821318126827e-10,None
_367_/A1,20710,20825,0,-1,0,0,0,-1,0.1985349953174591,0,_367_,_054_,1.2864401384427016e-11,-0.076759,2.2811480482332058e-10,2.439096424833309e-10,3.0531029415655766e-15
_367_/A2,20678,20980,0,-1,0,0,0,-1,0.1985349953174591,0,_367_,_057_,1.0710674534786246e-11,-0.065128,2.2352789064150613e-10,2.317297048692879e-10,3.4509930686482584e-15
_367_/ZN,20475,21114,0,-1,0,0,1,-1,0.1985349953174591,0,_367_,_058_,1.736294788501347e-11,-0.076759,2.68380068169094e-10,2.492789308305987e-10,None
_369_/A,13980,29783,0,-1,0,0,0,-1,0.1985349953174591,0,_369_,dpath.a_lt_b$in1\[5\],1.489794745901385e-11,-0.051124,1.4820725202646656e-10,1.3990204827951658e-10,2.2327540732486285e-15
_369_/B,14265,29131,0,-1,0,0,0,-1,0.1985349953174591,0,_369_,dpath.a_lt_b$in0\[5\],2.5216499027758132e-11,-0.065484,1.5941165054655926e-10,1.4671185100123552e-10,2.573607966278521e-15
_369_/ZN,14688,29216,0,-1,0,0,1,-1,0.1985349953174591,0,_369_,_060_,3.685459576407979e-11,-0.065484,2.121778169827948e-10,1.9582949151164541e-10,None
_370_/A,21470,26425,0,-1,0,0,0,-1,0.1985349953174591,0,_370_,dpath.a_lt_b$in1\[4\],1.6230022534258204e-11,-0.042046,1.495202711643273e-10,1.4078198329325886e-10,4.003783287168886e-15
_370_/B,21581,26573,0,-1,0,0,0,-1,0.1985349953174591,0,_370_,dpath.a_lt_b$in0\[4\],1.6540244868190612e-11,-0.069439,1.7645457317527757e-10,1.5106377260210024e-10,4.83693590551653e-15
_370_/ZN,22400,26338,0,-1,0,0,1,-1,0.1985349953174591,0,_370_,_061_,2.3791899006475603e-11,-0.069439,2.1849787257277598e-10,1.975396651809902e-10,None
_371_/A1,19570,29575,0,-1,0,0,0,-1,0.1985349953174591,0,_371_,_060_,3.685463739744321e-11,-0.065484,2.1231233438001595e-10,1.9595942923888998e-10,3.0531029415655766e-15
_371_/A2,19538,29420,0,-1,0,0,0,-1,0.1985349953174591,0,_371_,_061_,2.3791980538478974e-11,-0.069439,2.1865344257410158e-10,1.97682079039474e-10,3.4509930686482584e-15
_371_/ZN,19335,29285,0,-1,0,0,1,-1,0.1985349953174591,0,_371_,_062_,1.3228623925443106e-11,-0.069439,2.199269932834369e-10,2.3826352002487283e-10,None
_372_/A,18810,48825,0,-1,0,0,0,-1,0.1985349953174591,0,_372_,dpath.a_lt_b$in1\[7\],1.657237368168918e-11,-0.053994,1.5001033748518466e-10,1.411651073812692e-10,4.003783287168886e-15
_372_/B,18921,48973,0,-1,0,0,0,-1,0.1985349953174591,0,_372_,dpath.a_lt_b$in0\[7\],2.4868078082884715e-11,-0.065300,1.5914886075663048e-10,1.4644299661803473e-10,4.83693590551653e-15
_372_/ZN,19740,48738,0,-1,0,0,1,-1,0.1985349953174591,0,_372_,_063_,3.252201286052525e-11,-0.065300,2.07774270011285e-10,1.9139229090470167e-10,None
_373_/A,13870,43225,0,-1,0,0,0,-1,0.1985349953174591,0,_373_,dpath.a_lt_b$in1\[6\],1.6970350472100826e-11,-0.053839,1.5058249092092524e-10,1.4160114747419073e-10,4.003783287168886e-15
_373_/B,13981,43373,0,-1,0,0,0,-1,0.1985349953174591,0,_373_,dpath.a_lt_b$in0\[6\],1.3867669165779084e-11,-0.076650,1.7392544349181804e-10,1.492597156982356e-10,4.83693590551653e-15
_373_/ZN,14800,43138,0,-1,0,0,1,-1,0.1985349953174591,0,_373_,_064_,3.108091214953923e-11,-0.076650,2.1922494375381518e-10,1.9707283027692313e-10,None
_374_/A1,19250,40775,0,-1,0,0,0,-1,0.1985349953174591,0,_374_,_063_,3.252216551619114e-11,-0.065257,2.080081523692101e-10,1.9161353059793385e-10,5.9549651857835825e-15
_374_/A2,17990,40775,0,-1,0,0,0,-1,0.1985349953174591,0,_374_,_064_,3.108105439686426e-11,-0.076650,2.1944655814731817e-10,1.972738222777437e-10,6.2018498789197934e-15
