,pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap,is_macro,is_seq,is_buf,is_inv,new_cellname,new_netname,id,org_id,netname_prefix,to_top,to_left,to_right,to_bottom,libcell_name,rise_cap,fall_cap
374,A2,8073,1503,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_409_,net20,5.277145474075207e-12,2.918138508611889e-10,8.806689405504997e-11,8.859275812955758e-11,6.341729852741434e-16,0,0,0,0,cell1101,net385,374,374,net20,14697.0,8073.0,8127.0,1503.0,AO21x1_ASAP7_75t_R,0.634173,0.634001
375,B,8127,1503,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_409_,_126_,2.0219159679868423e-11,2.5041935192149367e-10,1.2630078927156063e-10,1.2816192551667882e-10,6.344629881794596e-16,0,0,0,0,cell1101,net180,375,375,_126_,14697.0,8127.0,8073.0,1503.0,AO21x1_ASAP7_75t_R,0.626818,0.634463
376,Y,8212,1432,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_409_,_170_,7.583832867252838e-12,2.3803709003900053e-10,1.5417812859741528e-10,1.5456788626799778e-10,-1.0,0,0,0,0,cell1101,net224,376,376,_170_,14768.0,8212.0,7988.0,1432.0,AO21x1_ASAP7_75t_R,,
377,A1,8235,2277,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_410_,_154_,1.2693097441174306e-11,2.8562407994314754e-10,9.889757762726603e-11,9.627404429224383e-11,5.243980447055781e-16,0,0,0,0,cell1102,net208,377,377,_154_,13923.0,8235.0,7965.0,2277.0,AO221x1_ASAP7_75t_R,0.51688,0.524398
378,A2,8289,2277,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_410_,_156_,2.5751040189092575e-11,7.893546927206785e-11,3.0659719207903885e-10,3.111665924926399e-10,4.902120067126314e-16,0,0,0,0,cell1102,net210,378,378,_156_,13923.0,8289.0,7911.0,2277.0,AO221x1_ASAP7_75t_R,0.487368,0.490212
379,B1,8073,2277,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_410_,net39,1.7495978624215702e-11,1.2704273744112982e-10,2.589709557909714e-10,2.68947641934858e-10,5.70434973603119e-16,0,0,0,0,cell1102,net405,379,379,net39,13923.0,8073.0,8127.0,2277.0,AO221x1_ASAP7_75t_R,0.570421,0.570435
380,B2,8127,2277,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_410_,_138_,1.8861129671976503e-11,3.7960273813197887e-11,3.5194350211931175e-10,3.197745124250417e-10,5.375859771174133e-16,0,0,0,0,cell1102,net192,380,380,_138_,13923.0,8127.0,8073.0,2277.0,AO221x1_ASAP7_75t_R,0.537586,0.532511
381,C,8181,2277,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_410_,_170_,7.584483388556329e-12,2.3803709003900053e-10,1.5419991672427358e-10,1.5458995195061218e-10,5.344120387849329e-16,0,0,0,0,cell1102,net224,381,381,_170_,13923.0,8181.0,8019.0,2277.0,AO221x1_ASAP7_75t_R,0.526688,0.534412
382,Y,8492,2295,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_410_,_171_,9.534836462044004e-12,3.7960273813197887e-11,3.710616536256594e-10,3.424808769914023e-10,-1.0,0,0,0,0,cell1102,net225,382,382,_171_,13905.0,8492.0,7708.0,2295.0,AO221x1_ASAP7_75t_R,,
383,A1,8073,2007,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_411_,dpath.a_lt_b$in0\[11\],1.9577291177075296e-11,3.0295640995881e-10,1.0315643478309156e-10,9.913844051245846e-11,6.183570272643335e-16,0,0,0,0,cell1103,net357,383,383,dpath.a_lt_b$in0,14193.0,8073.0,8127.0,2007.0,OA21x2_ASAP7_75t_R,0.61012,0.618357
384,A2,8181,2007,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_411_,_129_,2.109575882036641e-11,2.3589202813312227e-10,1.6811875502842355e-10,1.6116100121088548e-10,6.484900126046684e-16,0,0,0,0,cell1103,net183,384,384,_129_,14193.0,8181.0,8019.0,2007.0,OA21x2_ASAP7_75t_R,0.64849,0.648421
