,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
64,BUFx6f_ASAP7_75t_R,35,145800,1.3331600846392389e-15,2.082420069715596e-10,1.135004937258266e-11,9.87631244148135e-12,64,36,14,49,16,HB4xp67_ASAP7_75t_R
65,BUFx8_ASAP7_75t_R,35,174960,9.382030208946615e-16,2.1660899462983e-10,1.555830464461394e-11,1.5096889016685822e-11,65,36,6,43,16,HB4xp67_ASAP7_75t_R
66,CKINVDCx10_ASAP7_75t_R,36,349920,6.6842499654576944e-15,0.0,9.801764434824722e-12,2.9122693839811475e-12,66,37,19,49,21,INVxp33_ASAP7_75t_R
67,CKINVDCx11_ASAP7_75t_R,36,379080,7.534059910229568e-15,0.0,1.030066310026001e-11,3.0039070189613604e-12,67,37,17,49,21,INVxp33_ASAP7_75t_R
68,CKINVDCx12_ASAP7_75t_R,36,379080,7.997259877435582e-15,0.0,1.0173015208003731e-11,3.035641399709577e-12,68,37,16,49,21,INVxp33_ASAP7_75t_R
69,CKINVDCx14_ASAP7_75t_R,36,408240,9.303439739243283e-15,0.0,1.0840749305185415e-11,3.231452865709583e-12,69,37,11,49,21,INVxp33_ASAP7_75t_R
70,CKINVDCx16_ASAP7_75t_R,36,437400,1.0558800165314571e-14,0.0,1.0420776221098382e-11,3.107686850911673e-12,70,37,14,49,21,INVxp33_ASAP7_75t_R
71,CKINVDCx20_ASAP7_75t_R,36,554040,1.3225600390515903e-14,0.0,1.2124073446584394e-11,3.4603914785685808e-12,71,37,7,48,21,INVxp33_ASAP7_75t_R
72,CKINVDCx5p33_ASAP7_75t_R,36,320760,4.045029980051908e-15,0.0,1.0063887223576984e-11,3.4766480059428284e-12,72,37,6,48,21,INVxp33_ASAP7_75t_R
73,CKINVDCx6p67_ASAP7_75t_R,36,349920,4.947209854370147e-15,0.0,1.0363970098792308e-11,3.304512262783388e-12,73,37,10,49,21,INVxp33_ASAP7_75t_R
